sb_n,edl_used,outer_f,gesture,recall
1,0,1,1,0.17567567567567569
1,0,1,2,0.3703703703703704
1,0,1,3,0.8692810457516341
1,0,1,4,0.8951048951048951
1,0,1,5,0.7578125
1,0,1,6,0.644927536231884
1,0,1,7,0.5167785234899329
1,0,1,8,0.7901234567901234
1,0,1,9,0.5123966942148761
1,0,1,10,0.45
1,0,1,11,0.5135135135135135
1,0,1,12,0.9831932773109244
2,0,1,1,0.21929824561403508
2,0,1,2,0.8035714285714286
2,0,1,3,0.6051282051282051
2,0,1,4,0.8563535911602209
2,0,1,5,0.7085427135678392
2,0,1,6,0.7710843373493976
2,0,1,7,0.7826086956521741
2,0,1,8,0.7486338797814208
2,0,1,9,0.6046511627906976
2,0,1,10,0.9263803680981596
2,0,1,11,0.4970760233918128
2,0,1,12,0.8888888888888888
3,0,1,1,0.7658227848101266
3,0,1,2,0.4861111111111111
3,0,1,3,0.9068627450980392
3,0,1,4,0.7768595041322314
3,0,1,5,0.8278688524590164
3,0,1,6,0.905511811023622
3,0,1,7,0.8378378378378378
3,0,1,8,0.9306930693069309
3,0,1,9,0.7165354330708661
3,0,1,10,0.1440677966101695
3,0,1,11,0.9191919191919192
3,0,1,12,0.3517241379310345
4,0,1,1,0.475
4,0,1,2,0.9577464788732394
4,0,1,3,0.7647058823529411
4,0,1,4,0.898989898989899
4,0,1,5,0.8671875
4,0,1,6,0.618421052631579
4,0,1,7,0.5968586387434555
4,0,1,8,0.7642276422764228
4,0,1,9,0.5542168674698795
4,0,1,10,0.9693877551020408
4,0,1,11,0.6644295302013423
4,0,1,12,0.7051282051282052
5,0,1,1,0.030075187969924814
5,0,1,2,0.9842519685039368
5,0,1,3,0.8584905660377359
5,0,1,4,1.0
5,0,1,5,0.9624060150375942
5,0,1,6,0.9044117647058824
5,0,1,7,0.2549019607843137
5,0,1,8,0.6312056737588653
5,0,1,9,0.26956521739130435
5,0,1,10,0.035398230088495575
5,0,1,11,1.0
5,0,1,12,0.6115702479338843
6,0,1,1,0.5520361990950227
6,0,1,2,0.5419354838709678
6,0,1,3,0.36818181818181817
6,0,1,4,0.6137931034482759
6,0,1,5,0.8913043478260869
6,0,1,6,0.32663316582914576
6,0,1,7,0.3376623376623377
6,0,1,8,0.7763975155279503
6,0,1,9,0.032679738562091505
6,0,1,10,0.4086021505376344
6,0,1,11,0.10555555555555557
6,0,1,12,0.6956521739130435
7,0,1,1,0.3163841807909605
7,0,1,2,0.8461538461538461
7,0,1,3,0.7070063694267515
7,0,1,4,0.8421052631578947
7,0,1,5,0.7455621301775148
7,0,1,6,0.5031446540880503
7,0,1,7,0.7019230769230769
7,0,1,8,0.855072463768116
7,0,1,9,0.12048192771084335
7,0,1,10,0.25625
7,0,1,11,0.1875
7,0,1,12,0.8939393939393939
8,0,1,1,0.8
8,0,1,2,0.7066666666666667
8,0,1,3,0.8963414634146342
8,0,1,4,0.05147058823529412
8,0,1,5,1.0
8,0,1,6,0.6646341463414634
8,0,1,7,0.7433628318584071
8,0,1,8,0.7945205479452054
8,0,1,9,0.20634920634920634
8,0,1,10,1.0
8,0,1,11,0.6395348837209303
8,0,1,12,0.16049382716049382
9,0,1,1,0.6716417910447762
9,0,1,2,0.5
9,0,1,3,0.9953488372093025
9,0,1,4,0.6794871794871795
9,0,1,5,0.9454545454545454
9,0,1,6,0.7164179104477612
9,0,1,7,0.7794871794871795
9,0,1,8,0.5744680851063829
9,0,1,9,0.05194805194805195
9,0,1,10,1.0
9,0,1,11,0.14772727272727273
9,0,1,12,0.7215189873417721
10,0,1,1,0.6904761904761905
10,0,1,2,1.0
10,0,1,3,0.6378378378378379
10,0,1,4,0.5775862068965517
10,0,1,5,0.6086956521739131
10,0,1,6,0.6946107784431138
10,0,1,7,0.8457943925233645
10,0,1,8,0.8855421686746988
10,0,1,9,0.4166666666666667
10,0,1,10,0.4117647058823529
10,0,1,11,0.74
10,0,1,12,0.6788990825688074
1,0,2,1,0.6842105263157895
1,0,2,2,0.971153846153846
1,0,2,3,0.8085106382978723
1,0,2,4,0.9915254237288136
1,0,2,5,0.7288135593220338
1,0,2,6,0.3875968992248062
1,0,2,7,0.2236024844720497
1,0,2,8,0.7115384615384616
1,0,2,9,0.8655462184873951
1,0,2,10,0.4606741573033708
1,0,2,11,1.0
1,0,2,12,1.0
2,0,2,1,0.6717557251908397
2,0,2,2,0.688622754491018
2,0,2,3,0.7979274611398963
2,0,2,4,0.8269230769230769
2,0,2,5,1.0
2,0,2,6,0.6378378378378379
2,0,2,7,0.7244897959183674
2,0,2,8,0.8863636363636364
2,0,2,9,0.8655462184873951
2,0,2,10,0.9011627906976744
2,0,2,11,0.603448275862069
2,0,2,12,0.8066666666666666
3,0,2,1,0.9579831932773109
3,0,2,2,0.9210526315789472
3,0,2,3,0.8784530386740331
3,0,2,4,0.8503937007874016
3,0,2,5,0.6909090909090909
3,0,2,6,0.5760000000000001
3,0,2,7,0.9224806201550388
3,0,2,8,0.8404255319148937
3,0,2,9,0.97
3,0,2,10,0.8608695652173913
3,0,2,11,0.8118811881188119
3,0,2,12,1.0
4,0,2,1,0.8817733990147784
4,0,2,2,0.6944444444444444
4,0,2,3,0.7289156626506024
4,0,2,4,0.967741935483871
4,0,2,5,0.9611650485436892
4,0,2,6,0.6358024691358025
4,0,2,7,0.6568047337278107
4,0,2,8,0.7797619047619048
4,0,2,9,0.875
4,0,2,10,0.1565217391304348
4,0,2,11,0.5151515151515151
4,0,2,12,1.0
5,0,2,1,0.0
5,0,2,2,0.6818181818181818
5,0,2,3,0.8481012658227848
5,0,2,4,0.8070175438596491
5,0,2,5,0.7214285714285714
5,0,2,6,0.9160839160839158
5,0,2,7,0.7622377622377622
5,0,2,8,0.8609271523178808
5,0,2,9,0.8455284552845529
5,0,2,10,0.9482758620689656
5,0,2,11,0.8235294117647058
5,0,2,12,0.8360655737704918
6,0,2,1,0.55
6,0,2,2,0.5182481751824818
6,0,2,3,0.6868131868131868
6,0,2,4,0.5060975609756098
6,0,2,5,0.7891156462585034
6,0,2,6,0.585
6,0,2,7,0.4454976303317536
6,0,2,8,0.5059523809523809
6,0,2,9,0.29411764705882354
6,0,2,10,0.8466257668711656
6,0,2,11,0.4117647058823529
6,0,2,12,0.6457399103139013
7,0,2,1,0.9666666666666668
7,0,2,2,0.524822695035461
7,0,2,3,0.6385542168674698
7,0,2,4,0.7575757575757576
7,0,2,5,0.9846153846153848
7,0,2,6,0.9575757575757576
7,0,2,7,0.9166666666666666
7,0,2,8,0.7777777777777778
7,0,2,9,0.6859504132231405
7,0,2,10,0.8108108108108109
7,0,2,11,0.203125
7,0,2,12,0.9124087591240876
8,0,2,1,0.6150943396226415
8,0,2,2,0.8279569892473119
8,0,2,3,1.0
8,0,2,4,0.9166666666666666
8,0,2,5,1.0
8,0,2,6,0.610738255033557
8,0,2,7,0.7622950819672131
8,0,2,8,0.8142857142857143
8,0,2,9,0.5844155844155844
8,0,2,10,0.9894179894179894
8,0,2,11,0.625
8,0,2,12,0.944
9,0,2,1,0.9253731343283582
9,0,2,2,0.8
9,0,2,3,0.9943502824858758
9,0,2,4,0.8235294117647058
9,0,2,5,1.0
9,0,2,6,0.6625766871165644
9,0,2,7,0.8369565217391305
9,0,2,8,0.8481012658227848
9,0,2,9,0.8655462184873951
9,0,2,10,0.7713004484304933
9,0,2,11,0.9369369369369368
9,0,2,12,0.09574468085106384
10,0,2,1,0.7087378640776699
10,0,2,2,0.8145695364238411
10,0,2,3,0.9779735682819384
10,0,2,4,0.5497076023391813
10,0,2,5,0.9722222222222222
10,0,2,6,0.7828947368421053
10,0,2,7,0.7355769230769231
10,0,2,8,0.6363636363636364
10,0,2,9,0.25833333333333336
10,0,2,10,0.5264797507788161
10,0,2,11,0.8265306122448979
10,0,2,12,0.8613861386138614
1,0,3,1,0.8620689655172413
1,0,3,2,0.5581395348837209
1,0,3,3,0.9027777777777778
1,0,3,4,0.9921875
1,0,3,5,0.8244274809160306
1,0,3,6,0.1986754966887417
1,0,3,7,0.7543859649122807
1,0,3,8,0.7964071856287425
1,0,3,9,0.9565217391304348
1,0,3,10,0.825
1,0,3,11,0.8346456692913385
1,0,3,12,0.900763358778626
2,0,3,1,0.875
2,0,3,2,0.8734939759036144
2,0,3,3,0.5714285714285714
2,0,3,4,0.9565217391304348
2,0,3,5,0.98159509202454
2,0,3,6,0.7894736842105263
2,0,3,7,0.795
2,0,3,8,0.74
2,0,3,9,0.20895522388059687
2,0,3,10,0.84251968503937
2,0,3,11,0.8623853211009175
2,0,3,12,0.75
3,0,3,1,0.8442622950819673
3,0,3,2,0.7560975609756098
