sb_n,edl_used,outer_f,gesture,recall
1,2,1,1,0.3040540540540541
1,2,1,2,0.26666666666666666
1,2,1,3,0.8692810457516341
1,2,1,4,0.8951048951048951
1,2,1,5,0.7421875
1,2,1,6,0.6231884057971014
1,2,1,7,0.6375838926174496
1,2,1,8,0.8395061728395061
1,2,1,9,0.016528925619834708
1,2,1,10,0.05
1,2,1,11,0.8648648648648649
1,2,1,12,0.9915966386554622
2,2,1,1,0.19298245614035087
2,2,1,2,0.4761904761904762
2,2,1,3,0.6358974358974359
2,2,1,4,0.8176795580110497
2,2,1,5,0.542713567839196
2,2,1,6,0.8674698795180723
2,2,1,7,0.7782608695652173
2,2,1,8,0.7377049180327869
2,2,1,9,0.37209302325581395
2,2,1,10,0.901840490797546
2,2,1,11,0.6374269005847953
2,2,1,12,0.7222222222222222
3,2,1,1,0.7721518987341772
3,2,1,2,0.6180555555555556
3,2,1,3,0.6127450980392157
3,2,1,4,0.9173553719008264
3,2,1,5,0.8770491803278688
3,2,1,6,1.0
3,2,1,7,0.9527027027027029
3,2,1,8,0.9207920792079208
3,2,1,9,0.9448818897637796
3,2,1,10,0.2033898305084746
3,2,1,11,0.9595959595959596
3,2,1,12,0.5586206896551724
4,2,1,1,0.425
4,2,1,2,0.7676056338028169
4,2,1,3,0.7588235294117647
4,2,1,4,0.9595959595959596
4,2,1,5,0.796875
4,2,1,6,0.5789473684210527
4,2,1,7,0.6020942408376964
4,2,1,8,0.7317073170731707
4,2,1,9,0.7590361445783133
4,2,1,10,0.8469387755102041
4,2,1,11,0.6442953020134228
4,2,1,12,0.7179487179487181
5,2,1,1,0.0
5,2,1,2,0.9842519685039368
5,2,1,3,0.07547169811320754
5,2,1,4,1.0
5,2,1,5,0.7218045112781954
5,2,1,6,0.8970588235294118
5,2,1,7,0.4379084967320261
5,2,1,8,0.7092198581560284
5,2,1,9,0.26956521739130435
5,2,1,10,0.035398230088495575
5,2,1,11,1.0
5,2,1,12,0.5206611570247934
6,2,1,1,0.5294117647058824
6,2,1,2,0.4129032258064516
6,2,1,3,0.24545454545454545
6,2,1,4,0.6896551724137931
6,2,1,5,0.6739130434782609
6,2,1,6,0.2613065326633166
6,2,1,7,0.4805194805194805
6,2,1,8,0.6086956521739131
6,2,1,9,0.08496732026143791
6,2,1,10,0.3870967741935484
6,2,1,11,0.16111111111111112
6,2,1,12,0.7204968944099379
7,2,1,1,0.4463276836158192
7,2,1,2,0.8376068376068376
7,2,1,3,0.7261146496815286
7,2,1,4,0.8345864661654135
7,2,1,5,0.6923076923076923
7,2,1,6,0.5660377358490566
7,2,1,7,0.6730769230769231
7,2,1,8,0.7753623188405797
7,2,1,9,0.27710843373493976
7,2,1,10,0.25
7,2,1,11,0.04861111111111111
7,2,1,12,0.7196969696969697
8,2,1,1,0.8196078431372549
8,2,1,2,0.7333333333333333
8,2,1,3,0.902439024390244
8,2,1,4,0.0
8,2,1,5,0.9818181818181818
8,2,1,6,0.6463414634146342
8,2,1,7,0.8053097345132744
8,2,1,8,0.7945205479452054
8,2,1,9,0.1164021164021164
8,2,1,10,1.0
8,2,1,11,0.9186046511627908
8,2,1,12,0.16666666666666666
9,2,1,1,0.5970149253731343
9,2,1,2,0.456140350877193
