edl_used,sb,test_trial,threshold,RR,TAR
0,1,1,0.0,0.0,0.6629
0,1,1,0.02,0.0,0.6629
0,1,1,0.04,0.0,0.6629
0,1,1,0.06,0.0,0.6629
0,1,1,0.08,0.0,0.6629
0,1,1,0.1,0.0,0.6629
0,1,1,0.12,0.0013,0.6637
0,1,1,0.14,0.0032,0.665
0,1,1,0.16,0.0032,0.665
0,1,1,0.18,0.0069,0.6662
0,1,1,0.2,0.0095,0.6667
0,1,1,0.22,0.017,0.6699
0,1,1,0.24,0.0221,0.6727
0,1,1,0.26,0.0258,0.6746
0,1,1,0.28,0.0302,0.6751
0,1,1,0.3,0.0353,0.6759999999999999
0,1,1,0.32,0.0391,0.6774
0,1,1,0.34,0.0473,0.6772
0,1,1,0.36,0.0536,0.6811
0,1,1,0.38,0.0605,0.6821
0,1,1,0.4,0.0693,0.6852
0,1,1,0.42,0.0788,0.6881
0,1,1,0.44,0.092,0.6933
0,1,1,0.46,0.1052,0.6951
0,1,1,0.48,0.1235,0.6966
0,1,1,0.5,0.1449,0.7023
0,1,1,0.52,0.1626,0.7081
0,1,1,0.54,0.1859,0.7136
0,1,1,0.56,0.2042,0.7158
0,1,1,0.58,0.2224,0.7212
0,1,1,0.6,0.2394,0.7316
0,1,1,0.62,0.2602,0.7359
0,1,1,0.64,0.2817,0.7518
0,1,1,0.66,0.3062,0.7639
0,1,1,0.68,0.33399999999999996,0.772
0,1,1,0.7000000000000001,0.3585,0.779
0,1,1,0.72,0.3894,0.7884
0,1,1,0.74,0.4178,0.8009
0,1,1,0.76,0.4455,0.8125
0,1,1,0.78,0.4839,0.8217
0,1,1,0.8,0.5129,0.8357
0,1,1,0.8200000000000001,0.5501,0.8515
0,1,1,0.84,0.581,0.8571
0,1,1,0.86,0.61,0.8562
0,1,1,0.88,0.6497,0.8687
0,1,1,0.9,0.6755,0.8699
0,1,1,0.92,0.7190000000000001,0.8812
0,1,1,0.94,0.753,0.8929
0,1,1,0.96,0.8028,0.9233
0,1,1,0.98,0.8526,0.9744
0,2,1,0.0,0.0,0.6706
0,2,1,0.02,0.0,0.6706
0,2,1,0.04,0.0,0.6706
0,2,1,0.06,0.0,0.6706
0,2,1,0.08,0.0,0.6706
0,2,1,0.1,0.0,0.6706
0,2,1,0.12,0.0,0.6706
0,2,1,0.14,0.0,0.6706
0,2,1,0.16,0.0,0.6706
0,2,1,0.18,0.0,0.6706
0,2,1,0.2,0.0,0.6706
0,2,1,0.22,0.0,0.6706
0,2,1,0.24,0.0,0.6706
0,2,1,0.26,0.0005,0.6704
0,2,1,0.28,0.0005,0.6704
0,2,1,0.3,0.0015,0.6706
0,2,1,0.32,0.0059,0.6726
0,2,1,0.34,0.0098,0.6733
0,2,1,0.36,0.0196,0.6765
0,2,1,0.38,0.0299,0.6801
0,2,1,0.4,0.0431,0.6864
0,2,1,0.42,0.0607,0.6941
0,2,1,0.44,0.0739,0.7008
0,2,1,0.46,0.0979,0.7108
0,2,1,0.48,0.1165,0.718
0,2,1,0.5,0.1366,0.7290000000000001
0,2,1,0.52,0.1542,0.7361
0,2,1,0.54,0.1718,0.7435
0,2,1,0.56,0.1982,0.757
0,2,1,0.58,0.2203,0.7696
0,2,1,0.6,0.2462,0.7838
0,2,1,0.62,0.2726,0.7981
0,2,1,0.64,0.2956,0.8047
0,2,1,0.66,0.3186,0.8132
0,2,1,0.68,0.3407,0.8263
0,2,1,0.7000000000000001,0.3588,0.8336
0,2,1,0.72,0.3818,0.8416
0,2,1,0.74,0.4072,0.8538
0,2,1,0.76,0.4254,0.8612
0,2,1,0.78,0.4518,0.8732
0,2,1,0.8,0.4767,0.8849
0,2,1,0.8200000000000001,0.5081,0.8995
0,2,1,0.84,0.5438,0.9206
0,2,1,0.86,0.5688,0.9398
0,2,1,0.88,0.5932,0.9555
0,2,1,0.9,0.6163,0.9643
0,2,1,0.92,0.6432,0.9726
0,2,1,0.94,0.6701,0.9807
0,2,1,0.96,0.7107,0.9865
0,2,1,0.98,0.7606,0.998
0,3,1,0.0,0.0,0.7299
