sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,AUROC,AP,nAP
1,2,1,relu,0.4057971014492754,entropy,0.8046343439399827,0.6836997613810407,0.5848512552923473
1,2,1,relu,0.4057971014492754,un_prob,0.7891673198395499,0.6677517686072436,0.5639192787324924
1,2,1,relu,0.4057971014492754,vacuity,0.8165149549146045,0.6926390184590524,0.5965841625160635
1,2,1,relu,0.4057971014492754,dissonance,0.5292511674779183,0.41156027647620097,0.22766415345226865
1,2,1,relu,0.4057971014492754,entropy,0.8046343439399827,0.6836997613810407,0.5848512552923473
1,2,1,relu,0.4057971014492754,un_prob,0.7891673198395499,0.6677517686072436,0.5639192787324924
1,2,1,relu,0.4057971014492754,vacuity,0.8165149549146045,0.6926390184590524,0.5965841625160635
1,2,1,relu,0.4057971014492754,dissonance,0.5292511674779183,0.41156027647620097,0.22766415345226865
1,2,1,relu,0.4057971014492754,entropy,0.8046343439399827,0.6836997613810407,0.5848512552923473
1,2,1,relu,0.4057971014492754,un_prob,0.7891673198395499,0.6677517686072436,0.5639192787324924
1,2,1,relu,0.4057971014492754,vacuity,0.8165149549146045,0.6926390184590524,0.5965841625160635
1,2,1,relu,0.4057971014492754,dissonance,0.5292511674779183,0.41156027647620097,0.22766415345226865
1,2,1,relu,0.4057971014492754,overall,0.80465081048326,0.6837094048026886,0.5848639124259912
1,0,1,softmax,0.3371140516698173,entropy,0.7304164741835756,0.5407381476347302,0.4317166987644979
1,0,1,softmax,0.3371140516698173,un_prob,0.7411170534096159,0.5640813829474678,0.4606012463417024
1,0,1,softmax,0.3371140516698173,overall,0.7390240218897693,0.5513918572989565,0.4448994294163262
2,0,1,softmax,0.3294175232501224,entropy,0.8315484647671934,0.628641506126616,0.5433497363162039
2,0,1,softmax,0.3294175232501224,un_prob,0.8298283098881791,0.6294101228436909,0.5442948850937722
2,0,1,softmax,0.3294175232501224,overall,0.8333271873407014,0.6347457046250717,0.5508559167318549
3,0,1,softmax,0.2701363073110285,entropy,0.8138074173299481,0.5895587782587565,0.5174069066983745
3,0,1,softmax,0.2701363073110285,un_prob,0.8188404386224514,0.5977805189775609,0.5270739554148243
3,0,1,softmax,0.2701363073110285,overall,0.8181044687777449,0.6008654198005308,0.5307011540289643
4,0,1,softmax,0.31026785714285715,entropy,0.8157391562478171,0.5847155942735954,0.4969095959274469
4,0,1,softmax,0.31026785714285715,un_prob,0.8182973039044493,0.5937278054611529,0.5078273113663515
4,0,1,softmax,0.31026785714285715,overall,0.8198805033642989,0.5870428146278557,0.4997288740227626
5,0,1,softmax,0.3909465020576132,entropy,0.7908961593172119,0.6094504667797125,0.4941972244025205
5,0,1,softmax,0.3909465020576132,un_prob,0.791593567251462,0.6309624706137575,0.5220575348686614
5,0,1,softmax,0.3909465020576132,overall,0.788207286233602,0.6100397709596648,0.4949604353771523
6,0,1,softmax,0.4945316214931051,entropy,0.7917595339749621,0.7745193327818884,0.6765543630786013
6,0,1,softmax,0.4945316214931051,un_prob,0.7787701715030031,0.7506475767306539,0.6423110044985286
6,0,1,softmax,0.4945316214931051,overall,0.7890739199652652,0.7706567623984308,0.6710136151588575
7,0,1,softmax,0.4365591397849463,entropy,0.8152750488850451,0.7188673191939735,0.6201743705734328
7,0,1,softmax,0.4365591397849463,un_prob,0.8072742357011244,0.7105214283176453,0.6088986154881889
7,0,1,softmax,0.4365591397849463,overall,0.8118713101192042,0.7175488636610936,0.6183930650304014
8,0,1,softmax,0.3686583990980834,entropy,0.7682271188291829,0.6253840851847827,0.5241936854549368
8,0,1,softmax,0.3686583990980834,un_prob,0.7731774246395806,0.6282269253202153,0.5278044271084199
8,0,1,softmax,0.3686583990980834,overall,0.7693848296199214,0.6237745906954263,0.5221494379711132
9,0,1,softmax,0.2724438902743142,entropy,0.8341245423831177,0.5601386382026691,0.4819507609383011
9,0,1,softmax,0.2724438902743142,un_prob,0.8547626470893899,0.6287291899630413,0.562733676266643
9,0,1,softmax,0.2724438902743142,overall,0.8403659758539077,0.5847014562870851,0.5108797606709616
10,0,1,softmax,0.3047138047138047,entropy,0.8018124876444944,0.5950944282459301,0.5115654523981354
10,0,1,softmax,0.3047138047138047,un_prob,0.8152537913751509,0.6154420598236788,0.5361106474207507
10,0,1,softmax,0.3047138047138047,overall,0.8084892913996762,0.6055720714085775,0.5242045545866078
1,0,2,softmax,0.2835820895522388,entropy,0.81054262722923,0.5803418734421286,0.501691912245094
1,0,2,softmax,0.2835820895522388,un_prob,0.8379243239814411,0.6151409797366112,0.5430128709392944
1,0,2,softmax,0.2835820895522388,overall,0.8278690010149339,0.6081806677575703,0.5347480965123058
2,0,2,softmax,0.2430626927029805,entropy,0.8066938508372696,0.5527782050814936,0.4841492732223254
2,0,2,softmax,0.2430626927029805,un_prob,0.8171225828119685,0.5586847801414694,0.49096224851126596
2,0,2,softmax,0.2430626927029805,overall,0.8145161174574334,0.5668460528577938,0.5003759186632627
3,0,2,softmax,0.1478201634877384,entropy,0.8556767489234419,0.3754502987696252,0.3224760066952559
3,0,2,softmax,0.1478201634877384,un_prob,0.8857982738233376,0.4784823954799298,0.4342472836075745
3,0,2,softmax,0.1478201634877384,overall,0.8651806665266866,0.391172954964316,0.33953225824641176
4,0,2,softmax,0.2484679665738161,entropy,0.8313598845848278,0.6116704528202982,0.5503836070522395
4,0,2,softmax,0.2484679665738161,un_prob,0.8413174349376885,0.6265043461722044,0.5675586112997775
4,0,2,softmax,0.2484679665738161,overall,0.83950908661789,0.6273447647847318,0.5685316662420938
5,0,2,softmax,0.3367675466838377,entropy,0.8259388516586534,0.6475854308324929,0.5640458613196158
5,0,2,softmax,0.3367675466838377,un_prob,0.8149547977500975,0.6384533032764032,0.5527489708067205
5,0,2,softmax,0.3367675466838377,overall,0.8273348307932206,0.6504912677598705,0.5676405243831013
6,0,2,softmax,0.4237700925474915,entropy,0.7567561527773731,0.6790521566784654,0.5716856677352571
6,0,2,softmax,0.4237700925474915,un_prob,0.7788478541794192,0.6952292382304479,0.5932744586466454
6,0,2,softmax,0.4237700925474915,overall,0.7655337589024592,0.6890548118531321,0.5850345051278788
7,0,2,softmax,0.2420656266810113,entropy,0.839170412428042,0.5629167439191093,0.4961838093334268
7,0,2,softmax,0.2420656266810113,un_prob,0.8429114423152748,0.5628563326203794,0.4961141745671074
7,0,2,softmax,0.2420656266810113,overall,0.8471413926346503,0.5787291003195508,0.5144103624129579
8,0,2,softmax,0.20749838396897224,entropy,0.7506390612533225,0.376317727058083,0.2975755922236525
8,0,2,softmax,0.20749838396897224,un_prob,0.7981074639305189,0.44352249742085226,0.3732652070641401
8,0,2,softmax,0.20749838396897224,overall,0.7637607801883389,0.3884711669824378,0.3112634477418827
9,0,2,softmax,0.20294784580498867,entropy,0.8297261536749924,0.5392972536806293,0.4826954493950526
9,0,2,softmax,0.20294784580498867,un_prob,0.8159245690854042,0.5156998808780832,0.4561989102912541
9,0,2,softmax,0.20294784580498867,overall,0.8286076432209922,0.5397229054562754,0.4831733966230081
10,0,2,softmax,0.30887456618740705,entropy,0.7612181074128748,0.5732930279472928,0.4836449327904518
10,0,2,softmax,0.30887456618740705,un_prob,0.7697728858602908,0.5801422291574214,0.4919331023841534
10,0,2,softmax,0.30887456618740705,overall,0.7684343126124114,0.5825144786875845,0.4948037446417491
1,0,3,softmax,0.2202304737516005,entropy,0.8475484018787949,0.5541092112302956,0.4935665564297023
1,0,3,softmax,0.2202304737516005,un_prob,0.8727851605758583,0.5966787772027695,0.5419161802158704
1,0,3,softmax,0.2202304737516005,overall,0.8642670981784855,0.5788374336019921,0.521652354846001
2,0,3,softmax,0.20413573700954396,entropy,0.8156761293336909,0.44186007774901465,0.37281467287953024
2,0,3,softmax,0.20413573700954396,un_prob,0.8451906521193663,0.528139426382215,0.4697673174386505
2,0,3,softmax,0.20413573700954396,overall,0.8285870026043244,0.485709545896141,0.4220885949329809
3,0,3,softmax,0.15346181299072092,entropy,0.8677987372053807,0.4844180906616027,0.4387644489932146
3,0,3,softmax,0.15346181299072092,un_prob,0.8612886779873721,0.4517048645653355,0.4031545388299436
3,0,3,softmax,0.15346181299072092,overall,0.871320443938978,0.4853986390611891,0.4398318227923397
4,0,3,softmax,0.1923925027563396,entropy,0.7722366194979318,0.36410069900428654,0.2908346041256554
4,0,3,softmax,0.1923925027563396,un_prob,0.7956658223886872,0.4278343528204399,0.3619114267739563
4,0,3,softmax,0.1923925027563396,overall,0.7818222713359476,0.3915218371420106,0.32141510995781275
5,0,3,softmax,0.2023047375160051,entropy,0.8278567364934881,0.5913396174621135,0.5413049041957317
5,0,3,softmax,0.2023047375160051,un_prob,0.8260865148221143,0.5384632484863121,0.4819545679030071
5,0,3,softmax,0.2023047375160051,overall,0.8303355547879798,0.5730394473434975,0.5207641357618972
