sb_n,edl_used,outer_f,acti_fun,skew,uncertainty,nAP
1,2,1,relu,0.3862633900441084,entropy,0.4955530234038111
1,2,1,relu,0.3862633900441084,-max_prob,0.4719028881283165
1,2,1,relu,0.3862633900441084,vacuity,0.4786646839021717
1,2,1,relu,0.3862633900441084,dissonance,0.2297999443783115
2,2,1,relu,0.3401860009789525,entropy,0.6084253407826162
2,2,1,relu,0.3401860009789525,-max_prob,0.6061413523446312
2,2,1,relu,0.3401860009789525,vacuity,0.6068575031823195
2,2,1,relu,0.3401860009789525,dissonance,0.2049199981904907
3,2,1,relu,0.2348203221809169,entropy,0.5515139177737945
3,2,1,relu,0.2348203221809169,-max_prob,0.5527901963132442
3,2,1,relu,0.2348203221809169,vacuity,0.5454758213904237
3,2,1,relu,0.2348203221809169,dissonance,0.1409272677267049
4,2,1,relu,0.28627232142857145,entropy,0.5305535864160202
4,2,1,relu,0.28627232142857145,-max_prob,0.5290473869454124
4,2,1,relu,0.28627232142857145,vacuity,0.5286036774879355
4,2,1,relu,0.28627232142857145,dissonance,0.16657267420894606
5,2,1,relu,0.4540466392318244,entropy,0.7706301187593598
5,2,1,relu,0.4540466392318244,-max_prob,0.7626383367091564
5,2,1,relu,0.4540466392318244,vacuity,0.7719785527513311
5,2,1,relu,0.4540466392318244,dissonance,0.28402505743940754
6,2,1,relu,0.5653827864954827,entropy,0.6578553226757823
6,2,1,relu,0.5653827864954827,-max_prob,0.6571227419717447
6,2,1,relu,0.5653827864954827,vacuity,0.6551789977983566
6,2,1,relu,0.5653827864954827,dissonance,0.3289650564939013
7,2,1,relu,0.4387096774193549,entropy,0.6128947941977246
7,2,1,relu,0.4387096774193549,-max_prob,0.5966610509879976
7,2,1,relu,0.4387096774193549,vacuity,0.6207469517279719
7,2,1,relu,0.4387096774193549,dissonance,0.28322610715170843
8,2,1,relu,0.3602029312288613,entropy,0.4799595568082815
8,2,1,relu,0.3602029312288613,-max_prob,0.4921504571332985
8,2,1,relu,0.3602029312288613,vacuity,0.4566829049680442
8,2,1,relu,0.3602029312288613,dissonance,0.34897958823007863
9,2,1,relu,0.2768079800498753,entropy,0.5615139988520035
9,2,1,relu,0.2768079800498753,-max_prob,0.5649154716982298
9,2,1,relu,0.2768079800498753,vacuity,0.5500272182905369
9,2,1,relu,0.2768079800498753,dissonance,0.2105619346200952
10,2,1,relu,0.3625140291806959,entropy,0.6627579635148694
10,2,1,relu,0.3625140291806959,-max_prob,0.6596059794270185
10,2,1,relu,0.3625140291806959,vacuity,0.6600974072271028
10,2,1,relu,0.3625140291806959,dissonance,0.21155552675691933
1,2,2,relu,0.3005427408412483,entropy,0.5581611506416023
1,2,2,relu,0.3005427408412483,-max_prob,0.5758637978609531
1,2,2,relu,0.3005427408412483,vacuity,0.5291817805922425
1,2,2,relu,0.3005427408412483,dissonance,0.3259918547757214
